################################################################################
# Copyright (c) 2004-2007 by Tensilica Inc.  ALL RIGHTS RESERVED.              #
# These coded instructions, statements, and computer programs are the          #
# copyrighted works and confidential proprietary information of Tensilica Inc. #
# They may not be modified, copied, reproduced, distributed, or disclosed to   #
# third parties in any manner, medium, or form, in whole or in part, without   #
# the prior written consent of Tensilica Inc.                                  #
################################################################################
# Tech     OpCond    Mem    Words Bits  Mux     Pcr     Pcw     Pci      Pa      Pd       Pleak       Area
130g       Typical   ram       64   22    4  25.617  24.186   0.453   0.705   0.082       2.958   39716.89
130g       Typical   ram       64   23    4  26.493  24.999   0.469   0.729   0.082       3.052   40748.93
130g       Typical   ram       64   24    4  27.370  25.811   0.484   0.753   0.081       3.145   41780.97
130g       Typical   ram       64   25    4  28.246  26.624   0.499   0.777   0.080       3.239   43006.96
130g       Typical   ram       64   26    4  29.123  27.436   0.514   0.800   0.079       3.332   44039.00
130g       Typical   ram       64   27    4  30.000  28.248   0.530   0.824   0.078       3.426   45071.04
130g       Typical   ram       64   28    4  30.876  29.061   0.545   0.848   0.078       3.519   46103.07
130g       Typical   ram       64   32    4  34.383  32.310   0.606   0.942   0.076       3.893   50425.18
130g       Typical   ram       64   64    4  62.434  58.306   1.093   1.701   0.068       6.884   89299.04
130g       Typical   ram       64  128    4 119.439 110.425   2.083   3.241   0.065      12.867  176012.93
130g       Typical   ram      128    4    8  10.618   9.727   0.185   0.247   0.183       1.341   19661.90
130g       Typical   ram      128    8    4  14.220  13.750   0.258   0.344   0.129       2.011   28743.62
130g       Typical   ram      128   12    4  17.718  17.062   0.320   0.427   0.107       2.429   33815.90
130g       Typical   ram      128   16    4  21.217  20.374   0.382   0.509   0.096       2.846   38888.17
130g       Typical   ram      128   17    4  22.092  21.202   0.398   0.530   0.094       2.951   40326.96
130g       Typical   ram      128   18    4  22.966  22.030   0.413   0.551   0.092       3.055   41538.13
130g       Typical   ram      128   19    4  23.841  22.858   0.429   0.571   0.090       3.159   42749.29
130g       Typical   ram      128   20    4  24.716  23.686   0.444   0.592   0.089       3.264   43960.45
130g       Typical   ram      128   21    4  25.590  24.514   0.460   0.613   0.088       3.368   45399.24
130g       Typical   ram      128   22    4  26.465  25.342   0.475   0.634   0.086       3.472   46610.40
130g       Typical   ram      128   23    4  27.339  26.170   0.491   0.654   0.085       3.577   47821.56
130g       Typical   ram      128   24    4  28.214  26.998   0.506   0.675   0.084       3.681   49032.73
130g       Typical   ram      128   25    4  29.089  27.826   0.522   0.696   0.083       3.786   50471.52
130g       Typical   ram      128   26    4  29.963  28.654   0.537   0.716   0.083       3.890   51682.68
130g       Typical   ram      128   27    4  30.838  29.482   0.553   0.737   0.082       3.994   52893.84
130g       Typical   ram      128   28    4  31.713  30.310   0.568   0.758   0.081       4.099   54105.00
130g       Typical   ram      128   32    4  35.211  33.622   0.630   0.841   0.079       4.516   59177.28
130g       Typical   ram      128   64    4  63.201  60.118   1.127   1.503   0.070       7.856  104698.62
130g       Typical   ram      128  128    4 120.059 113.518   2.128   2.838   0.067      14.537  217775.60
130g       Typical   ram      256    4    8  11.489  10.635   0.200   0.234   0.200       1.702   23912.97
130g       Typical   ram      256    8    4  15.970  15.624   0.293   0.342   0.146       2.734   37245.77
130g       Typical   ram      256   12    4  19.454  19.061   0.357   0.417   0.119       3.239   43818.39
130g       Typical   ram      256   16    4  22.937  22.498   0.422   0.492   0.105       3.744   50391.01
130g       Typical   ram      256   17    4  23.808  23.357   0.438   0.511   0.103       3.870   52255.38
130g       Typical   ram      256   18    4  24.678  24.216   0.454   0.530   0.101       3.996   53824.80
130g       Typical   ram      256   19    4  25.549  25.075   0.470   0.549   0.099       4.122   55394.21
130g       Typical   ram      256   20    4  26.420  25.934   0.486   0.567   0.097       4.248   56963.63
130g       Typical   ram      256   21    4  27.291  26.794   0.502   0.586   0.096       4.375   58828.00
130g       Typical   ram      256   22    4  28.161  27.653   0.518   0.605   0.094       4.501   60397.42
130g       Typical   ram      256   23    4  29.032  28.512   0.535   0.624   0.093       4.627   61966.83
130g       Typical   ram      256   24    4  29.903  29.371   0.551   0.642   0.092       4.753   63536.25
130g       Typical   ram      256   25    4  30.774  30.231   0.567   0.661   0.091       4.879   65400.62
130g       Typical   ram      256   26    4  31.645  31.090   0.583   0.680   0.090       5.006   66970.04
130g       Typical   ram      256   27    4  32.515  31.949   0.599   0.699   0.089       5.132   68539.45
130g       Typical   ram      256   28    4  33.386  32.808   0.615   0.718   0.088       5.258   70108.87
130g       Typical   ram      256   32    4  36.869  36.245   0.680   0.793   0.085       5.763   77047.59
130g       Typical   ram      256   64    4  64.734  63.741   1.195   1.394   0.075       9.801  135500.79
130g       Typical   ram      256  128    4 121.099 119.500   2.241   2.614   0.070      17.877  274497.75
130g       Typical   ram      512    4    8  13.210  12.429   0.233   0.242   0.233       2.425   32415.12
130g       Typical   ram      512    8    8  17.774  16.784   0.315   0.326   0.157       3.126   43855.47
130g       Typical   ram      512   12    8  22.337  21.139   0.396   0.411   0.132       3.826   55295.82
130g       Typical   ram      512   16    4  26.580  26.984   0.506   0.525   0.126       5.539   73396.68
130g       Typical   ram      512   17    4  27.447  27.896   0.523   0.542   0.123       5.708   76112.23
130g       Typical   ram      512   18    4  28.314  28.808   0.540   0.560   0.120       5.878   78398.15
130g       Typical   ram      512   19    4  29.180  29.720   0.557   0.578   0.117       6.048   80684.07
